Location,MinTemp,MaxTemp,Rainfall,Humidity9am,Humidity3pm,Pressure9am,Cluster
Adelaide,12.579504857411468,22.898934169279,1.5663539307667422,59.70106649937265,44.82810539523212,1018.7640816326531,3
Albany,12.94843802485724,20.070997990622907,2.2638594164456234,74.80541624874624,67.407917383821,1018.2757213930348,1
Albury,9.530604159788709,22.640871574777155,1.9141149119893721,74.07060376113493,47.86939313984169,1018.3696210873146,1
AliceSprings,13.142283645936164,29.248420013166555,0.8828496042216359,39.69015475798486,24.131466227347612,1016.6847318196775,2
BadgerysCreek,11.13171880255634,24.031208053691277,2.1931010928961747,76.89576988155669,51.38185511171293,1018.461598028863,1
Ballarat,7.36794998354722,18.287265547877592,1.7400264200792603,81.81782047035442,59.03099241674909,1017.8450928381963,1
Bendigo,8.593712969058592,21.62174629324547,1.6193803559657218,70.54566435872074,46.47432521395655,1018.0262809917356,1
Brisbane,16.423806532663317,26.448379993708713,3.144890857323632,64.04358733145186,53.91220893643801,1018.2329887218045,3
Cairns,21.220467258966764,29.558848684210524,5.742034805890228,69.93682132280355,61.7516447368421,1014.1513326752221,0
Canberra,6.821865889212828,20.97663850859307,1.7417203042715037,73.21849985176401,45.82535046728972,1018.9864797507788,1
Cobar,13.14945054945055,25.870093147039256,1.1273092369477913,55.15291262135922,33.87066574202497,1017.9719368915743,3
CoffsHarbour,14.437107548430193,23.965384615384615,5.061496782932611,67.93812709030101,62.351858051556746,1018.2153076352854,1
Dartmoor,8.620034013605443,19.69745417515275,2.1465669612508496,85.21790722761597,62.45653735632184,1018.0024787775891,1
Darwin,23.209304511278198,32.54097744360902,5.092452239273411,68.48621553884712,51.827953619555,1011.8887844611529,0
GoldCoast,17.363286137635825,25.76706231454006,3.7693959731543623,66.327495042961,62.98051519154558,1017.9221125370187,1
Hobart,9.078578139680552,17.865726817042606,1.601819322459222,65.62205466540999,52.944654088050314,1014.5312969924812,1
Katherine,20.55356442119032,34.935435630689206,3.2010897435897436,63.79024716098864,42.76145552560647,1012.791122384274,0
Launceston,7.83618984838497,18.954911008569542,2.011988110964333,79.5,57.32244224422442,1015.6792792792793,1
Melbourne,11.779174345742721,20.769358407079647,1.8700616016427105,67.54555514570269,51.18070953436807,1017.6344268337634,1
MelbourneAirport,9.973944832170156,20.491857760053175,1.4519774011299436,70.11596134621793,51.17133333333334,1018.0876703223662,1
Mildura,10.731571950814224,24.84094383516118,0.9450615231127371,64.10379241516966,35.40232945091514,1018.7714808652246,3
Moree,12.905853009644163,26.950548354935194,1.6302032235459005,61.376705490848586,35.80858854860186,1018.3124293785311,3
MountGambier,8.825477287689269,19.828995057660627,2.087561860772022,75.49273447820343,57.32904290429043,1017.9376563528638,1
Nhil,8.999809281627464,22.405152671755726,0.9348629700446144,73.0425937698665,44.91926255562619,1018.537062937063,3
NorahHead,15.355480833893745,22.588937457969067,3.387299419597132,74.59075573549258,67.52119784656797,1018.2581481481482,1
NorfolkIsland,16.871875,21.830252659574466,3.127665317139001,70.78129161118508,67.83671433322247,1017.5975008330557,1
Nuriootpa,9.36324216144096,21.704133333333335,1.3903429903429902,66.76025341780594,45.42556742323097,1018.9109593604264,3
PearceRAAF,12.303850016739203,26.05123828647925,1.66908037653874,60.82335229173637,42.079141515761236,1017.635609103079,3
Perth,12.922705919198245,25.034837092731827,1.906295020357031,62.68812814070352,46.906122448979595,1017.7843984962406,3
PerthAirport,12.58035892323031,25.533233632436026,1.761648388168827,58.77567298105683,41.92320478723404,1017.8903225806453,3
Portland,9.586866666666666,18.05505319148936,2.5303738317757007,78.71114864864865,65.99165554072096,1017.6840840840841,1
Richmond,11.364202074272331,24.458664440734555,2.1384615384615384,76.89762711864407,49.0,1018.6968120805369,1
Sale,8.567420212765958,20.28228058510638,1.5101666666666667,78.91872909698996,56.35370741482966,1017.8154924874791,1
Sydney,14.866826347305388,23.001974865350093,3.324543002697033,68.22198858516072,54.69438607024917,1018.3439061089376,1
SydneyAirport,14.901728723404256,23.383914921900963,3.009916805324459,64.8347189890256,53.90482529118137,1018.3612129290236,1
Townsville,20.417873601053323,29.367160250082264,3.485591823277283,63.95427631578947,57.40098684210526,1015.1654934210527,0
Tuggeranong,7.242132982225147,20.767545304777595,2.1640426951300866,72.82709506459092,47.18572372769332,1018.5056216931217,1
Uluru,14.466688269604665,30.38319541693189,0.7843626806833114,42.6641074856046,24.127700127064802,1017.1014030612245,2
WaggaWagga,9.617181787969425,23.031871053506148,1.7099462365591398,67.85695276114438,42.58657361249585,1018.5100365569957,3
Walpole,11.806630764052507,20.45918436130772,2.9068463994324225,76.11926605504587,66.31602172437204,1017.8788112827401,1
Watsonia,10.131878747501666,20.89607843137255,1.860820273424475,78.38397328881469,54.70887337986042,1018.0302294645826,1
Williamtown,12.780179580977718,24.001064537591482,3.591108499804152,71.77374208597135,53.937708194536974,1018.4363697030363,1
Witchcliffe,10.775066666666667,21.686247086247086,2.8956639566395665,71.36475261827374,57.78018018018018,1018.3951304347826,1
Wollongong,14.939471074380165,21.46817431495543,3.594902749832327,67.66190634340751,65.12857142857143,1018.149331103679,1
Woomera,13.363727121464226,26.596706586826347,0.49040454697425606,53.127503337783715,28.40241448692153,1018.6326551034024,3
